kpid,"kwd","kwd2","acc","acc_txt",acc_int,"namAut","shTitle","kwst",bind_int,"bind_txt"
132,"salvation; sin, deliverance from; obedience, necessity of; Judaism, defects of; Christ, imitation of.;","salvation; sin, deliverance from; obedience, necessity of; Judaism, defects of; Christ, imitation of;","2030 ","a02030 ",2030,"BEND, JOSEPH GROVE JOHN ","Christian Salvation a deliverance from Sin -----;","salvation; sin, deliverance from; obedience, necessity of; Judaism, defects of; Christ, imitation of;Christian Salvation a deliverance from Sin -----;",0,""
133,"Messiah, prophecies concerning; prophecies concerning the Messiah; gospel, purposes of the.;","Messiah, prophecies concerning; prophecies concerning the Messiah; gospel, purposes of the;","2182","a02182",2182,"BEND, JOSEPH GROVE JOHN","Christianity a spring of spiritual joy-----;","Messiah, prophecies concerning; prophecies concerning the Messiah; gospel, purposes of the;Christianity a spring of spiritual joy-----;",0,""
134,"Deism, denunciation of; education, Christian; religious wars; wars, religious; pagans, beliefs of.;","Deism, denunciation of; education, Christian; religious wars; wars, religious; pagans, beliefs of;","1959 ","a01959 ",1959,"BEND, JOSEPH GROVE JOHN ","Christianity vindicated -----;","Deism, denunciation of; education, Christian; religious wars; wars, religious; pagans, beliefs of;Christianity vindicated -----;",0,""
135,"religion, gloomy; resurrection; patience; joy, compatible with piety; worldliness; Bible, study of; moderation; charity.;","religion, gloomy; resurrection; patience; joy, compatible with piety; worldliness; Bible, study of; moderation; charity;","2061","a02061",2061,"BEND, JOSEPH GROVE JOHN","Christmas Religion & Joy compatible, About-----;","religion, gloomy; resurrection; patience; joy, compatible with piety; worldliness; Bible, study of; moderation; charity;Christmas Religion & Joy compatible, About-----;",0,""
136,"free will; redemption by Christ; Holy Communion; charity.;","free will; redemption by Christ; Holy Communion; charity;","1793","a01793",1793,"BEND, JOSEPH GROVE JOHN","Christmas, For-----;","free will; redemption by Christ; Holy Communion; charity;Christmas, For-----;",0,""
137,"Incarnation; Virgin Mary; Blessed Virgin; Christ, divine and human nature of; man, union of soul and body.;","Incarnation; Virgin Mary; Blessed Virgin; Christ, divine and human nature of; man, union of soul and body;","1970 ","a01970 ",1970,"BEND, JOSEPH GROVE JOHN ","Christmas, For -----;","Incarnation; Virgin Mary; Blessed Virgin; Christ, divine and human nature of; man, union of soul and body;Christmas, For -----;",0,""
138,"Zacharias, miraculous recovery of speech; Messiah, Jews' expectations of; Jews, expectations of Messiah; sin, wages of; death, wages of sin; Christ as mediator; virgin birth; repentance, necessity of; sinners, God's wrath against; crucifixion, fulfillment of prophecy; Christ, preaching of; Christ, miracles of; miracles of Christ; David, royalty of; David, Christ's descent from; Christ, descent from David; redemption, consequences of.;","Zacharias, miraculous recovery of speech; Messiah, Jews' expectations of; Jews, expectations of Messiah; sin, wages of; death, wages of sin; Christ as mediator; virgin birth; repentance, necessity of; sinners, God's wrath against; crucifixion, fulfillment of prophecy; Christ, preaching of; Christ, miracles of; miracles of Christ; David, royalty of; David, Christ's descent from; Christ, descent from David; redemption, consequences of;","2127","a02127",2127,"BEND, JOSEPH GROVE JOHN","Christmas, For-----;","Zacharias, miraculous recovery of speech; Messiah, Jews' expectations of; Jews, expectations of Messiah; sin, wages of; death, wages of sin; Christ as mediator; virgin birth; repentance, necessity of; sinners, God's wrath against; crucifixion, fulfillment of prophecy; Christ, preaching of; Christ, miracles of; miracles of Christ; David, royalty of; David, Christ's descent from; Christ, descent from David; redemption, consequences of;Christmas, For-----;",0,""
139,"music, history of religious; Jewish Church, music in; Moses; Miriam; David; Jubal; consolation of religious music; music, consolations of religious; St. Paul's Church, Baltimore, choir instituted; Christ Church, Baltimore, choir instituted.;","music, history of religious; Jewish Church, music in; Moses; Miriam; David; Jubal; consolation of religious music; music, consolations of religious; St. Paul's Church, Baltimore, choir instituted; Christ Church, Baltimore, choir instituted;","2201","a02201",2201,"BEND, JOSEPH GROVE JOHN","Church Musick-----;","music, history of religious; Jewish Church, music in; Moses; Miriam; David; Jubal; consolation of religious music; music, consolations of religious; St. Paul's Church, Baltimore, choir instituted; Christ Church, Baltimore, choir instituted;Church Musick-----;",0,""
140,"clergy, respect for; Christ, second coming of; consolation, sources of; God's will, submission to; eternal life; Christ, sacrifice of; Holy Spirit; Christian conversation; conversation, Christian; worldliness; Jews, comfort of; Mohametans, comfort of; pagans, comfort of; Deists, comfort of.;","clergy, respect for; Christ, second coming of; consolation, sources of; God's will, submission to; eternal life; Christ, sacrifice of; Holy Spirit; Christian conversation; conversation, Christian; worldliness; Jews, comfort of; Mohametans, comfort of; pagans, comfort of; Deists, comfort of;","2085","a02085",2085,"BEND, JOSEPH GROVE JOHN","Comforting & edifying one another-----;","clergy, respect for; Christ, second coming of; consolation, sources of; God's will, submission to; eternal life; Christ, sacrifice of; Holy Spirit; Christian conversation; conversation, Christian; worldliness; Jews, comfort of; Mohametans, comfort of; pagans, comfort of; Deists, comfort of;Comforting & edifying one another-----;",0,""
141,"Moses, law of; Mosaic law, imperfections of; laws, type of.;","Moses, law of; Mosaic law, imperfections of; laws, type of;","2017 ","a02017 ",2017,"BEND, JOSEPH GROVE JOHN ","Concerning the law of Moses -----;","Moses, law of; Mosaic law, imperfections of; laws, type of;Concerning the law of Moses -----;",0,""
142,"Mosaic law, vindication of; Moses, law of; reason, role of; Jews, religious rites of; Old Testament, rejection of.;","Mosaic law, vindication of; Moses, law of; reason, role of; Jews, religious rites of; Old Testament, rejection of;","2018 ","a02018 ",2018,"BEND, JOSEPH GROVE JOHN ","Concerning the law of Moses, No. 2.-----;","Mosaic law, vindication of; Moses, law of; reason, role of; Jews, religious rites of; Old Testament, rejection of;Concerning the law of Moses, No. 2.-----;",0,""
143,"Christ, commission to the Apostles; disciples, Christ's commission to preach; Christ, divinity of; Christ, witnessing for; infidels, refuting of; Mahometism; France, infidelity of; repentance, necessity of national; Christianity, insincere.;","Christ, commission to the Apostles; disciples, Christ's commission to preach; Christ, divinity of; Christ, witnessing for; infidels, refuting of; Mahometism; France, infidelity of; repentance, necessity of national; Christianity, insincere;","2151","a02151",2151,"BEND, JOSEPH GROVE JOHN","Confessing of Christ before men, &c.-----;","Christ, commission to the Apostles; disciples, Christ's commission to preach; Christ, divinity of; Christ, witnessing for; infidels, refuting of; Mahometism; France, infidelity of; repentance, necessity of national; Christianity, insincere;Confessing of Christ before men, &c.-----;",0,""
144,"Lenten sermon; sermon, Lenten; sin, confession of; pride, human; dueling; Christ as savior; sinners, impenitent; sinners, penitent; charity.;","Lenten sermon; sermon, Lenten; sin, confession of; pride, human; dueling; Christ as savior; sinners, impenitent; sinners, penitent; charity;","2063","a02063",2063,"BEND, JOSEPH GROVE JOHN","Confession of sin, and its blessed Effects-----;","Lenten sermon; sermon, Lenten; sin, confession of; pride, human; dueling; Christ as savior; sinners, impenitent; sinners, penitent; charity;Confession of sin, and its blessed Effects-----;",0,""
145,"clergy, orders of; bishops, authority of; Justin, martyr; Tertullian; Cyprian; primitive church, practices of; clerical orders, role of; grace; parents, duties of; religious instruction; instruction, religious.;","clergy, orders of; bishops, authority of; Justin, martyr; Tertullian; Cyprian; primitive church, practices of; clerical orders, role of; grace; parents, duties of; religious instruction; instruction, religious;","2141","a02141",2141,"BEND, JOSEPH GROVE JOHN","Confirmation-----;","clergy, orders of; bishops, authority of; Justin, martyr; Tertullian; Cyprian; primitive church, practices of; clerical orders, role of; grace; parents, duties of; religious instruction; instruction, religious;Confirmation-----;",0,""
146,"American Revolution; Claggett, Bishop Thomas John; bishopric, establishment of; Protestant Episcopal Church, bishops of; confirmation, rite of.;","American Revolution; Claggett, Bishop Thomas John; bishopric, establishment of; Protestant Episcopal Church, bishops of; confirmation, rite of;","1918","a01918",1918,"BEND, JOSEPH GROVE JOHN","Confirmation, On-----;","American Revolution; Claggett, Bishop Thomas John; bishopric, establishment of; Protestant Episcopal Church, bishops of; confirmation, rite of;Confirmation, On-----;",0,""
147,"confirmation, rite of.;","confirmation, rite of;","1919","a01919",1919,"BEND, JOSEPH GROVE JOHN","Confirmation, On-----;","confirmation, rite of;Confirmation, On-----;",0,""
148,"worldliness; Holy Communion; Advent; Epiphany.;","worldliness; Holy Communion; Advent; Epiphany;","1864","a01864",1864,"BEND, JOSEPH GROVE JOHN","Conformity to the World, Against-----;","worldliness; Holy Communion; Advent; Epiphany;Conformity to the World, Against-----;",0,""
149,"Paul, accused by Tertullus; Tertullus, accuses Paul; flattery, power of; Felix, roles and beliefs of; conscience, powers of; worship, public; Christian deportment; deportment, Christian; charity; last judgment.;","Paul, accused by Tertullus; Tertullus, accuses Paul; flattery, power of; Felix, roles and beliefs of; conscience, powers of; worship, public; Christian deportment; deportment, Christian; charity; last judgment;","2184","a02184",2184,"BEND, JOSEPH GROVE JOHN","Conscience void of offence, A-----;","Paul, accused by Tertullus; Tertullus, accuses Paul; flattery, power of; Felix, roles and beliefs of; conscience, powers of; worship, public; Christian deportment; deportment, Christian; charity; last judgment;Conscience void of offence, A-----;",0,""
150,"God, duty to; duty to God; Herod; John the Baptist.;","God, duty to; duty to God; Herod; John the Baptist;","1829","a01829",1829,"BEND, JOSEPH GROVE JOHN","Conscience, On-----;","God, duty to; duty to God; Herod; John the Baptist;Conscience, On-----;",0,""
151,"Holy Communion; charity; Christian conduct; religion, study of; prayer, daily; worship, daily; last judgment; repentance; reformation.;","Holy Communion; charity; Christian conduct; religion, study of; prayer, daily; worship, daily; last judgment; repentance; reformation;","2190","a02190",2190,"BEND, JOSEPH GROVE JOHN","Consideration of our ways-----;","Holy Communion; charity; Christian conduct; religion, study of; prayer, daily; worship, daily; last judgment; repentance; reformation;Consideration of our ways-----;",0,""
152,"faith; Bible, translations of; Catholic Church, criticism of; Bible, authority of.;","faith; Bible, translations of; Catholic Church, criticism of; Bible, authority of;","1993 ","a01993 ",1993,"BEND, JOSEPH GROVE JOHN ","Contending for the faith -----;","faith; Bible, translations of; Catholic Church, criticism of; Bible, authority of;Contending for the faith -----;",0,""
153,"covetousness.;","covetousness;","1780","a01780",1780,"BEND, JOSEPH GROVE JOHN","Contentment, On-----;","covetousness;Contentment, On-----;",0,""
154,"Holy Communion; God's judgment; salvation, conditions for; death, different views of; eternal life; human misery; misery, human; intemperant Christians, changeability of; public worship, neglect of; miserliness, evils of.;","Holy Communion; God's judgment; salvation, conditions for; death, different views of; eternal life; human misery; misery, human; intemperant Christians, changeability of; public worship, neglect of; miserliness, evils of;","2088","a02088",2088,"BEND, JOSEPH GROVE JOHN","Continuing patiently in well-doing-----;","Holy Communion; God's judgment; salvation, conditions for; death, different views of; eternal life; human misery; misery, human; intemperant Christians, changeability of; public worship, neglect of; miserliness, evils of;Continuing patiently in well-doing-----;",0,""
155,"morality, superiority to intellect; intellect, inferiority to morality; wickedness, effects of; religion, writers against; dueling, condemnation of.;","morality, superiority to intellect; intellect, inferiority to morality; wickedness, effects of; religion, writers against; dueling, condemnation of;","2048 ","a02048 ",2048,"BEND, JOSEPH GROVE JOHN ","Corruption of Heart, On -----;","morality, superiority to intellect; intellect, inferiority to morality; wickedness, effects of; religion, writers against; dueling, condemnation of;Corruption of Heart, On -----;",0,""
156,"wicked, punishment of; punishment; God, counsel of; heaven, glories of; Philpot, Miss Ann, funeral of; Greene, Mrs. Vincent, funeral of; Armstrong, Mrs. Isabella; Mercer, Captain, funeral of; Mayo, Mrs., funeral of; Gash, Daniel, funeral of; Stocket, Mrs., funeral of; Spurrier, William Jr., funeral of; Craxall, Mrs., funeral of; Cooper, Mrs., and child, funeral of; Jones, Mrs., funeral of; Chapman, Nuthill; Usher, James, funeral of.;","wicked, punishment of; punishment; God, counsel of; heaven, glories of; Philpot, Miss Ann, funeral of; Greene, Mrs. Vincent, funeral of; Armstrong, Mrs. Isabella; Mercer, Captain, funeral of; Mayo, Mrs., funeral of; Gash, Daniel, funeral of; Stocket, Mrs., funeral of; Spurrier, William Jr., funeral of; Craxall, Mrs., funeral of; Cooper, Mrs., and child, funeral of; Jones, Mrs., funeral of; Chapman, Nuthill; Usher, James, funeral of;","1870","a01870",1870,"BEND, JOSEPH GROVE JOHN","Counsel of God & Future Glory-----;","wicked, punishment of; punishment; God, counsel of; heaven, glories of; Philpot, Miss Ann, funeral of; Greene, Mrs. Vincent, funeral of; Armstrong, Mrs. Isabella; Mercer, Captain, funeral of; Mayo, Mrs., funeral of; Gash, Daniel, funeral of; Stocket, Mrs., funeral of; Spurrier, William Jr., funeral of; Craxall, Mrs., funeral of; Cooper, Mrs., and child, funeral of; Jones, Mrs., funeral of; Chapman, Nuthill; Usher, James, funeral of;Counsel of God & Future Glory-----;",0,""
157,"dueling; self-love; sin, confession of; sin, concealing of; hypocrisy; mercy, divine.;","dueling; self-love; sin, confession of; sin, concealing of; hypocrisy; mercy, divine;","1971 ","a01971 ",1971,"BEND, JOSEPH GROVE JOHN ","Covering sin; its evils, &c, &c -----;","dueling; self-love; sin, confession of; sin, concealing of; hypocrisy; mercy, divine;Covering sin; its evils, &c, &c -----;",0,""
158,"circumcision; flesh, crucifixion of; Holy Communion; Christ, imitation of; prayer, neglect of; Christian duty; duty, Christian.;","circumcision; flesh, crucifixion of; Holy Communion; Christ, imitation of; prayer, neglect of; Christian duty; duty, Christian;","1910","a01910",1910,"BEND, JOSEPH GROVE JOHN","Crucifixion of The Flesh-----;","circumcision; flesh, crucifixion of; Holy Communion; Christ, imitation of; prayer, neglect of; Christian duty; duty, Christian;Crucifixion of The Flesh-----;",0,""
159,"Christ, divinity of; Christians, lukewarm; lukewarm Christians; sins, unconscious; mankind, depravity of; sins, deliberate; Paul, fear of losing God's favor; David, apprehensions regarding secret faults; last judgment.;","Christ, divinity of; Christians, lukewarm; lukewarm Christians; sins, unconscious; mankind, depravity of; sins, deliberate; Paul, fear of losing God's favor; David, apprehensions regarding secret faults; last judgment;","2205","a02205",2205,"BEND, JOSEPH GROVE JOHN","Danger of consenting to smaller offences, The-----;","Christ, divinity of; Christians, lukewarm; lukewarm Christians; sins, unconscious; mankind, depravity of; sins, deliberate; Paul, fear of losing God's favor; David, apprehensions regarding secret faults; last judgment;Danger of consenting to smaller offences, The-----;",0,""
160,"advice, bad; worldliness; intemperance; usury; debt.;","advice, bad; worldliness; intemperance; usury; debt;","1798","a01798",1798,"BEND, JOSEPH GROVE JOHN","Danger of ill advice, On the-----;","advice, bad; worldliness; intemperance; usury; debt;Danger of ill advice, On the-----;",0,""
161,"riches, dangers of; avarice; God, inattention to; Lazarus the beggar, parable of;","riches, dangers of; avarice; God, inattention to; Lazarus the beggar, parable of;","1821","a01821",1821,"BEND, JOSEPH GROVE JOHN","Danger of riches, The-----;","riches, dangers of; avarice; God, inattention to; Lazarus the beggar, parable of;Danger of riches, The-----;",0,""
162,"envy; God, duty to; piety; hypocrisy; obedience, rewards for; eternal life; Lion's Den, Daniel and.;","envy; God, duty to; piety; hypocrisy; obedience, rewards for; eternal life; Lion's Den, Daniel and;","2051","a02051",2051,"BEND, JOSEPH GROVE JOHN ","Daniel & the Den of Lions-----;","envy; God, duty to; piety; hypocrisy; obedience, rewards for; eternal life; Lion's Den, Daniel and;Daniel & the Den of Lions-----;",0,""
163,"Solomon, wisdom of; wisdom of Solomon; Methuselah, advanced age of; ill health, the result of imprudence; imprudence, ill health the result of; heaven, chastisements of; repentance; death, the end of suffering.;","Solomon, wisdom of; wisdom of Solomon; Methuselah, advanced age of; ill health, the result of imprudence; imprudence, ill health the result of; heaven, chastisements of; repentance; death, the end of suffering;","2193","a02193",2193,"BEND, JOSEPH GROVE JOHN","Day of death better than the day of one's birth-----;","Solomon, wisdom of; wisdom of Solomon; Methuselah, advanced age of; ill health, the result of imprudence; imprudence, ill health the result of; heaven, chastisements of; repentance; death, the end of suffering;Day of death better than the day of one's birth-----;",0,""
164,"Christian dispensation; dispensation, Christian; providence; prayer; Holy Communion; Christian conversation; conversation, Christian; death, preparation for; justice; charity; life, uncertainty of; Second Coming of Christ; Christ, second coming of; new man, putting on the.;","Christian dispensation; dispensation, Christian; providence; prayer; Holy Communion; Christian conversation; conversation, Christian; death, preparation for; justice; charity; life, uncertainty of; Second Coming of Christ; Christ, second coming of; new man, putting on the;","2179","a02179",2179,"BEND, JOSEPH GROVE JOHN","Death of the Old Year, On the-----;","Christian dispensation; dispensation, Christian; providence; prayer; Holy Communion; Christian conversation; conversation, Christian; death, preparation for; justice; charity; life, uncertainty of; Second Coming of Christ; Christ, second coming of; new man, putting on the;Death of the Old Year, On the-----;",0,""
165,"Scribes; Pharisees; ministers, duties of; Mosaic law; law, Mosaic; hypocrisy; dueling.;","Scribes; Pharisees; ministers, duties of; Mosaic law; law, Mosaic; hypocrisy; dueling;","2097","a02097",2097,"BEND, JOSEPH GROVE JOHN","Defective righteousness of the Scribes & Pharisees-----;","Scribes; Pharisees; ministers, duties of; Mosaic law; law, Mosaic; hypocrisy; dueling;Defective righteousness of the Scribes & Pharisees-----;",0,""
166,"God, delighting in; predestination; Christian duty; duty, Christian.;","God, delighting in; predestination; Christian duty; duty, Christian;","1908","a01908",1908,"BEND, JOSEPH GROVE JOHN","Delighting in God-----;","God, delighting in; predestination; Christian duty; duty, Christian;Delighting in God-----;",0,""
167,"iniquity, departing from; disobedience of Christ; Plato; Cicero; Seneca; evil, avoidance of; sincerity, religious; judgment, last.;","iniquity, departing from; disobedience of Christ; Plato; Cicero; Seneca; evil, avoidance of; sincerity, religious; judgment, last;","2072","a02072",2072,"BEND, JOSEPH GROVE JOHN","Departing from Iniquity-----;","iniquity, departing from; disobedience of Christ; Plato; Cicero; Seneca; evil, avoidance of; sincerity, religious; judgment, last;Departing from Iniquity-----;",0,""
168,"Hell, Christ's descent into; Whittingham, Bishop; David's prophecy of Christ; Christ, David's prophecy of; grace, covenant of; covenant of grace; last judgment; good thief; penitent thief; thief, good; thief, penitent; Christ, humanity of; Nicene Creed; Athanasian Creed; resurrection of saints; saints, resurrection of; Hell, harrowing of.;","Hell, Christ's descent into; Whittingham, Bishop; David's prophecy of Christ; Christ, David's prophecy of; grace, covenant of; covenant of grace; last judgment; good thief; penitent thief; thief, good; thief, penitent; Christ, humanity of; Nicene Creed; Athanasian Creed; resurrection of saints; saints, resurrection of; Hell, harrowing of;","2177","a02177",2177,"BEND, JOSEPH GROVE JOHN","Descent into Hell, The-----;","Hell, Christ's descent into; Whittingham, Bishop; David's prophecy of Christ; Christ, David's prophecy of; grace, covenant of; covenant of grace; last judgment; good thief; penitent thief; thief, good; thief, penitent; Christ, humanity of; Nicene Creed; Athanasian Creed; resurrection of saints; saints, resurrection of; Hell, harrowing of;Descent into Hell, The-----;",0,""
169,"righteousness, desire of; God, obligation to; commandments, respect for; Holy Spirit; liturgy, Episcopalian.;","righteousness, desire of; God, obligation to; commandments, respect for; Holy Spirit; liturgy, Episcopalian;","1822","a01822",1822,"BEND, JOSEPH GROVE JOHN","Desire of righteousness, Of the-----;","righteousness, desire of; God, obligation to; commandments, respect for; Holy Spirit; liturgy, Episcopalian;Desire of righteousness, Of the-----;",0,""
170,"Christians, treatment of early; true devotion, nature of; devotion, errors in; hypocrisy; austerity, unnecessary; devotion, benefits of; early Christians, treatment of.;","Christians, treatment of early; true devotion, nature of; devotion, errors in; hypocrisy; austerity, unnecessary; devotion, benefits of; early Christians, treatment of;","2202","a02202",2202,"BEND, JOSEPH GROVE JOHN","Devotion, On-----;","Christians, treatment of early; true devotion, nature of; devotion, errors in; hypocrisy; austerity, unnecessary; devotion, benefits of; early Christians, treatment of;Devotion, On-----;",0,""
171,"clergy, as examples; God, glorification of; good works, publicity of.;","clergy, as examples; God, glorification of; good works, publicity of;","2092","a02092",2092,"BEND, JOSEPH GROVE JOHN","Displaying our light before men to the glory of God, On-----;","clergy, as examples; God, glorification of; good works, publicity of;Displaying our light before men to the glory of God, On-----;",0,""
172,"clergy, duties of; over-indulgence, dangers of; God, Christians' duties to; worldliness, dangers of.;","clergy, duties of; over-indulgence, dangers of; God, Christians' duties to; worldliness, dangers of;","1752","a01752",1752,"BEND, JOSEPH GROVE JOHN","Distinction between Doers & mere Hearers of the word-----;","clergy, duties of; over-indulgence, dangers of; God, Christians' duties to; worldliness, dangers of;Distinction between Doers & mere Hearers of the word-----;",0,""
173,"scriptures, divine inspiration of; Communion, importance of; revelation, various modes of; blacks, preached to; inspiration, divine.;","scriptures, divine inspiration of; Communion, importance of; revelation, various modes of; blacks, preached to; inspiration, divine;","1754","a01754",1754,"BEND, JOSEPH GROVE JOHN","Divine Inspiration of the Scriptures, On the-----;","scriptures, divine inspiration of; Communion, importance of; revelation, various modes of; blacks, preached to; inspiration, divine;Divine Inspiration of the Scriptures, On the-----;",0,""
174,"scriptures, divine inspiration of; revelation, Mosaic; revelation, prophetic; revelation, Christian; revelation, apostolic; inspiration, divine; Moses; Church Fathers.;","scriptures, divine inspiration of; revelation, Mosaic; revelation, prophetic; revelation, Christian; revelation, apostolic; inspiration, divine; Moses; Church Fathers;","1755","a01755",1755,"BEND, JOSEPH GROVE JOHN","Divine Inspiration of the Scriptures, On the-----;","scriptures, divine inspiration of; revelation, Mosaic; revelation, prophetic; revelation, Christian; revelation, apostolic; inspiration, divine; Moses; Church Fathers;Divine Inspiration of the Scriptures, On the-----;",0,""
175,"providence, divine; Joseph and his brethren; God, omnipotence of; free will.;","providence, divine; Joseph and his brethren; God, omnipotence of; free will;","1847","a01847",1847,"BEND, JOSEPH GROVE JOHN","Divine Providence, Of a -----;","providence, divine; Joseph and his brethren; God, omnipotence of; free will;Divine Providence, Of a -----;",0,""
176,"clergy, duties of; ordination; Walke, Anthony; Nelson, Peter; Ball, David; Woodville, John; Iredell; Butler, Samuel; Sykes, Stephen; Judah, John; Rigg, Elisha; Henderson, James; Weems, John; Chew, Thomas John; Pryce, William; sermon, ordination; Holy Ghost.;","clergy, duties of; ordination; Walke, Anthony; Nelson, Peter; Ball, David; Woodville, John; Iredell; Butler, Samuel; Sykes, Stephen; Judah, John; Rigg, Elisha; Henderson, James; Weems, John; Chew, Thomas John; Pryce, William; sermon, ordination; Holy Ghost;","1778","a01778",1778,"BEND, JOSEPH GROVE JOHN","Duties of a Xtian Minister, The-----;","clergy, duties of; ordination; Walke, Anthony; Nelson, Peter; Ball, David; Woodville, John; Iredell; Butler, Samuel; Sykes, Stephen; Judah, John; Rigg, Elisha; Henderson, James; Weems, John; Chew, Thomas John; Pryce, William; sermon, ordination; Holy Ghost;Duties of a Xtian Minister, The-----;",0,""
177,"parents, duties of; children, parents' duties to.;","parents, duties of; children, parents' duties to;","1839","a01839",1839,"BEND, JOSEPH GROVE JOHN","Duty of parents to their children, On the-----;","parents, duties of; children, parents' duties to;Duty of parents to their children, On the-----;",0,""
178,"Praise, duty of; God, gratitude due to; David; Holy Communion, as praise; hypocrisy; religious liberty.;","Praise, duty of; God, gratitude due to; David; Holy Communion, as praise; hypocrisy; religious liberty;","1746","a01746",1746,"BEND, JOSEPH GROVE JOHN","Duty of Praise, On the-----;","Praise, duty of; God, gratitude due to; David; Holy Communion, as praise; hypocrisy; religious liberty;Duty of Praise, On the-----;",0,""
179,"submission to God, duty of; God, duty to; patience, duty of.;","submission to God, duty of; God, duty to; patience, duty of;","1767","a01767",1767,"BEND, JOSEPH GROVE JOHN","Duty of Submission to God, The-----;","submission to God, duty of; God, duty to; patience, duty of;Duty of Submission to God, The-----;",0,""
180,"faith; funeral sermon; sermon, funeral; heaven, nature of.;","faith; funeral sermon; sermon, funeral; heaven, nature of;","1946 ","a01946 ",1946,"BEND, JOSEPH GROVE JOHN ","Duty of Xtians under afflictions -----;","faith; funeral sermon; sermon, funeral; heaven, nature of;Duty of Xtians under afflictions -----;",0,""
181,"sin; righteousness; worldliness; communion.;","sin; righteousness; worldliness; communion;","1837","a01837",1837,"BEND, JOSEPH GROVE JOHN","Dying unto sin, and living unto righteousness-----;","sin; righteousness; worldliness; communion;Dying unto sin, and living unto righteousness-----;",0,""
182,"God, existence of; religion, truth of; truth in religion; revelation, divine; divine revelation; reason, human; human reason; Solomon; Jacob's dream; philosophers, mistakes of ancient; nature, as teacher; society, as teacher.;","God, existence of; religion, truth of; truth in religion; revelation, divine; divine revelation; reason, human; human reason; Solomon; Jacob's dream; philosophers, mistakes of ancient; nature, as teacher; society, as teacher;","2091","a02091",2091,"BEND, JOSEPH GROVE JOHN","Ear & the eye -- proofs of the existence of a God, The-----;","God, existence of; religion, truth of; truth in religion; revelation, divine; divine revelation; reason, human; human reason; Solomon; Jacob's dream; philosophers, mistakes of ancient; nature, as teacher; society, as teacher;Ear & the eye -- proofs of the existence of a God, The-----;",0,""
183,"New Year's sermon; sermon, New Year's; piety; God, obligation to; habit, power of; youth, disadvantages of; education, religious.;","New Year's sermon; sermon, New Year's; piety; God, obligation to; habit, power of; youth, disadvantages of; education, religious;","1792","a01792",1792,"BEND, JOSEPH GROVE JOHN","Early piety, On-----;","New Year's sermon; sermon, New Year's; piety; God, obligation to; habit, power of; youth, disadvantages of; education, religious;Early piety, On-----;",0,""
184,"worldliness.;","worldliness;","1808","a01808",1808,"BEND, JOSEPH GROVE JOHN","Earthly happiness, On-----;","worldliness;Earthly happiness, On-----;",0,""
185,"resurrection of the body; communion; grace; Resurrection.;","resurrection of the body; communion; grace; Resurrection;","1799","a01799",1799,"BEND, JOSEPH GROVE JOHN","Easter, For-----;","resurrection of the body; communion; grace; Resurrection;Easter, For-----;",0,""
186,"ritual, religious; Catholic Church, criticism of; Communion, Holy; judgment, last; worldliness.;","ritual, religious; Catholic Church, criticism of; Communion, Holy; judgment, last; worldliness;","1817","a01817",1817,"BEND, JOSEPH GROVE JOHN","Easter, For-----;","ritual, religious; Catholic Church, criticism of; Communion, Holy; judgment, last; worldliness;Easter, For-----;",0,""
187,"Christ, death of; crucifixion; resurrection; Christ, resurrection of; Apostles.;","Christ, death of; crucifixion; resurrection; Christ, resurrection of; Apostles;","1889","a01889",1889,"BEND, JOSEPH GROVE JOHN","Easter, For-----;","Christ, death of; crucifixion; resurrection; Christ, resurrection of; Apostles;Easter, For-----;",0,""
188,"resurrection; faith; reason, role of.;","resurrection; faith; reason, role of;","1939 ","a01939 ",1939,"BEND, JOSEPH GROVE JOHN ","Easter, For -----;","resurrection; faith; reason, role of;Easter, For -----;",0,""
189,"atheism; Deism; reason; resurrection of Christ; Christ, resurrection of; crucifixion; Christ, crucifixion of.;","atheism; Deism; reason; resurrection of Christ; Christ, resurrection of; crucifixion; Christ, crucifixion of;","1986 ","a01986 ",1986,"BEND, JOSEPH GROVE JOHN ","Easter, For -----;","atheism; Deism; reason; resurrection of Christ; Christ, resurrection of; crucifixion; Christ, crucifixion of;Easter, For -----;",0,""
190,"Holy Communion; schism; ministers, deference to; women, sensitivity of; faith; resurrection, proofs of; resurrection, universal; religion, truth of; Paul; ministers, three orders of; Claggett, Bishop Thomas John; bishops; priests; deacons; Christ, sepulchre of.;","Holy Communion; schism; ministers, deference to; women, sensitivity of; faith; resurrection, proofs of; resurrection, universal; religion, truth of; Paul; ministers, three orders of; Claggett, Bishop Thomas John; bishops; priests; deacons; Christ, sepulchre of;","2027 ","a02027 ",2027,"BEND, JOSEPH GROVE JOHN ","Easter, For -----;","Holy Communion; schism; ministers, deference to; women, sensitivity of; faith; resurrection, proofs of; resurrection, universal; religion, truth of; Paul; ministers, three orders of; Claggett, Bishop Thomas John; bishops; priests; deacons; Christ, sepulchre of;Easter, For -----;",0,""
