kpid,"shorttitle"
866,"Pleasantness of religion, The"
867,"Pleasing Man and God, 2, On"
868,"Pleasing Men and God, On"
869,"Poor, On the"
870,"Power of bad habits, The"
871,"Power of the Gospel, The"
872,"Praise, On"
873,"Prayer, On"
874,"Preach the Word"
875,"Preparation for Death, On"
876,"Preparation for judgment, On"
877,"Presence of God, On the"
878,"Presumptuous Sins, On"
879,"Pride, On"
880,"Prodigal Son, On the"
881,"Profanity, On"
882,"Promise of a prophet like unto Moses, The "
883,"Promise of God, On the"
884,"Promises of God, On the"
885,"Proper Distribution of the Elements of the Sacrament of the Lord's Supper"
886,"Prophecy concerning Shiloh, The"
887,"Prophecy of the Destruction of Jerusalem, The"
888,"Prophetic Character of Christ, On the"
889,"Propriety of a reverent and attentive deportment in ye house of God, The"
890,"Protestant and Catholic churches, On the"
891,"Proverbs 30: 8-9, On"
892,"Proverbs 3:7, On"
893,"Proving and Holding to Truth, On"
894,"Psalm 100: 2, On"
895,"Psalm 119, On"
896,"Psalm 119: 165, On"
897,"Psalm 119: 97, On"
898,"Psalm 144:3, On"
899,"Psalmody, On"
900,"public fast-day to minute-company at Charlottesville, On"
901,"Public Worship"
902,"Punishment of Disobedience, The"
903,"Pure and Undefiled Religion"
904,"Purgatory, On"
905,"Purgatry "
906,"Purification, On the"
907,"Purification, On ye"
908,"Purifying One's Soul, On"
909,"Putting on the Lord Jesus Christ"
910,"Questions of John's Disciples, On the"
911,"Rabbi, we know, that thou art a Teacher come from God"
912,"Race for Heaven, The"
913,"Rash Judgment, On"
914,"Reasonableness of Serving God, The"
915,"Reasons for rejoicing in the Lord"
916,"Reasons for the exercise of divine mercy towards Sinners"
917,"Receiving injuries from others, On"
918,"Redeeming the time, Of"
919,"Reforming from Vicious Habits"
920,"Regal Character of Christ, On the"
921,"Regeneration "
922,"regeneration and not returning to heathen habits, On"
923,"Regeneration and the Law of God"
924,"Regeneration, On"
925,"Rejoicing in hope "
926,"Rejoicing in the Lord"
927,"Rejoicing in ye Lord "
928,"Rejoicing, On"
929,"Relapse, On"
930,"Religion the <i>rest</i> of all that labour"
931,"Religion, Of"
932,"Religious Education of Children, The"
933,"Religious Instruction, On"
934,"Religious Retreats Prayer and Communion with God, On"
935,"Remedies for sin, On"
936,"Remember now thy Creator"
937,"Remember now thy Creator in the Days of thy Youth"
938,"Remember Thy Creator"
939,"Remission of sin, & the consequence expected "
940,"Remission of sins "
941,"Remorse for sin, On"
942,"Remorse of Conscience"
943,"Remorse, On"
944,"Renewing your Mind"
945,"Renouncing God, On"
946,"Renunciation of the world, On"
947,"Repent and believe the Gospel"
948,"Repentance "
949,"Repentance (1), On"
950,"Repentance (2), On"
951,"Repentance and Faith, On"
952,"Repentance, Of"
953,"Repentance, On"
954,"Repentance--Fragment"
955,"Repentance: Fragment"
956,"Reputation, On"
957,"Resignation "
958,"Resignation of the heart to God, On the"
959,"Resting in, & waiting for the Lord"
960,"Resurrection of Christ, Of the"
961,"Resurrection of Lazarus, The "
962,"Resurrection of the Body, On the"
963,"Resurrection of the body, The"
964,"Resurrection of the Dead, On the"
965,"Resurrection, On the"
966,"Retirement & Meditation, On"
967,"Retirement from Worldly affairs"
968,"Revelation not untrue, because man was unworthy of it"
969,"Revelation, On"
970,"Revenge, On"
971,"Rich man & Lazarus, The"
972,"Rich Man and Lazarus, The"
973,"Righteousness, Temperance, and Judgment to come"
974,"Rising generation exhorted"
975,"Rule of Divine Providence"
976,"Rule of Equity, The"
977,"Sacrament of penance, On the"
978,"Sacrament, Of the"
979,"Sacred Heart, On the"
980,"Sacred to the Memory of George Washington"
981,"Sacrifice made by Xt, On the"
982,"Sacrifice of Mass, Of ye"
983,"Safety & happiness of following that which is good, The "
984,"Safety & Security of upright walking, The"
985,"Salvation"
986,"Salvation for the Righteous and Sinful, On the"
987,"Salvation, Of"
988,"Salvation, On"
989,"Sanctity, On"
990,"Satisfaction made by Christ, On the"
991,"Scoffers, On"
992,"Scourging of Christ, On the"
993,"Scribes and Pharisees, On the"
994,"Scripture Doctrine of Regeneration, The "
995,"Search the Scriptures"
996,"Second Coming(1), On the"
997,"Second Coming(2), On the"
998,"Second Coming(3), On the"
999,"Second Coming, The"
1000,"Second Commandment, On the "
1001,"Secret Faults"
1002,"Seed among Thorns, The"
1003,"Seed by the Way-side, The "
1004,"Seed in the good ground, The "
1005,"Seed on the Rock, The "
1006,"Seek the[e] first Kingdom of God"
1007,"Seek ye first the Kingdom of God"
1008,"Seek ye first the Kingdom of God & his Righteousness, But"
1009,"Seek ye first the Kingdom of God--Sermon I"
1010,"Seek ye first the Kingdom of God--Sermon II"
1011,"Self-communion recommended"
1012,"Self-deceit of the wicked"
1013,"Self-examination, On"
1014,"Self-love "
1015,"Self-love, On"
1016,"Serious Advice not to---"
1017,"Sermon #14 from Psalm LXXIII. 25th, A"
1018,"Sermon 1st from John 14 Ch 23 vs."
1019,"Sermon 2d from 1st Tim 1st Ch & 15 vs"
1020,"Sermon 2d from 2d Peter 3d Ch & 11 vs."
1021,"Sermon 2d from Col 3d Ch 2, 3, 4 vs."
1022,"Sermon 2d from Isai 26 Ch 8, 9 vs."
1023,"Sermon 2d from John 14 Ch 23"
1024,"Sermon 2d from John 3d Ch 3 & 5 vs."
1025,"Sermon 2d from Luke 1st Ch 17 vs"
1026,"Sermon 2d from Phillip 1, 27"
1027,"Sermon 3d from John 3 Ch 3 & 5 vs."
1028,"Sermon 3d from Luke 10 Ch 41, 42 vs."
1029,"Sermon 4th from John 3 Ch 3 & 5 vs."
1030,"Sermon 4th from Luke 10 Ch 41, 42 vs."
1031,"Sermon 5 from John 3d Ch 3 & 5 vs."
1032,"Sermon 7 from Titus 2, 11, 12"
1033,"Sermon against slavery"
1034,"Sermon at the opening of S. Annes Ch."
1035,"Sermon before General Assembly in 1689"
1036,"Sermon delivered at the Bank Meeting House, A"
1037,"Sermon first from Isai 55 Ch 7 vs."
1038,"Sermon for Christmas"
1039,"Sermon for Easter"
1040,"Sermon for the Anniversary of American Independence, A"
1041,"Sermon for Whitsunday"
1042,"Sermon for ye 6th Sunday after ye Epiphany, A"
1043,"Sermon from 1 Ep John 1 & 7"
1044,"Sermon from 1 Ep John 1 Ch & 7 vs lt pt."
1045,"Sermon from 1st Ep Peter 1st Ch 6 & 7 vs."
1046,"Sermon from 1st Tim 1st Ch & 15 vs"
1047,"Sermon from 2d Peter 3d Ch & 11 vs."
1048,"Sermon from Colos 3d Ch 2, 3, 4 vs."
1049,"Sermon from Deut 5 ch 29 vs, A"
1050,"sermon from deut 5 ch 29 vs, A 2d"
1051,"Sermon from Deuteronomy, A"
1052,"Sermon from Exod 20, 8 vs"
1053,"Sermon from Ezek 33, 33"
1054,"Sermon from Gal 5, 15"
1055,"Sermon from Isai 26 Ch, 8, 9 vs, A"
1056,"Sermon from Isai 53 ch & 5 vs, A"
1057,"Sermon from Isai 66 & 2d"
1058,"Sermon from Jerem 31 & 20"
1059,"Sermon from Job 31 Ch & 6 vs"
1060,"Sermon from Job 31 Ch & 6 vs, A"
1061,"Sermon from John 14, 23"
1062,"Sermon from John 3d Ch 3 & 5 vs."
1063,"Sermon from John 4, 24"
1064,"Sermon from John [14] Ch & 47 vs, A"
1065,"Sermon from Luke 1st Ch 17 vs lt pt"
1066,"Sermon from Matt 22 Ch 4 vs, A"
1067,"Sermon from Matt 4, 10"
1068,"Sermon from Matthew 6, 33"
1069,"Sermon from Phillip 1, 27"
1070,"Sermon from Ps 103, 19"
1071,"Sermon from Ps 116, 16 vs, A"
1072,"Sermon from Ps 26 & 6"
1073,"Sermon from Ps 39, 10, 11, 12 vs."
1074,"Sermon from Psal 14 & 1"
1075,"Sermon from Psalme 38 vs 18"
1076,"Sermon from Rev 2, 17"
1077,"Sermon from Rev 4 Ch 10 vs."
1078,"Sermon from songs 8 ch & 2d vs, A"
1079,"sermon from songs 8 ch & 2d vs, A 2d"
1080,"Sermon notes on the books of Timothy"
1081,"Sermon Notes on the Lord's Supper"
1082,"Sermon occasioned by the death of Deacon Thomas Quarterman"
1083,"Sermon on 2 Cor. 4. 13"
1084,"Sermon on Acts 2[4]. 25."
1085,"Sermon on Acts X, 33"
1086,"Sermon on Be not ashamed"
1087,"Sermon on Easter"
1088,"Sermon on Everlasting Life"
1089,"Sermon on Godliness with Contentment, A"
1090,"Sermon on Grace"
1091,"Sermon on Hebrews 12th C & 14 V, A"
1092,"Sermon on Isaiah XLIV: 5"
1093,"Sermon on Judgment and the Jews"
1094,"Sermon on Matthew 11, 28-30"
1095,"Sermon on Prayer"
1096,"Sermon on Psal. 118, 2d, A"
1097,"Sermon on Romans 7th 18th, A"
1098,"Sermon on St. Luke 22, 19 & 20"
1099,"Sermon on the Advantages of Religion"
1100,"Sermon on the Ascension"
1101,"Sermon On the Constitution and Order of the Christian Church, A "
1102,"Sermon on The Creation of Man, A"
1103,"Sermon on the death of Col. George Carrington"
1104,"Sermon on the flesh and the spirit"
1105,"Sermon On The Law of God, A"
1106,"Sermon on the Lord's Supper"
1107,"Sermon on The Love of God, A"
1108,"Sermon on the married state"
1109,"Sermon on the Nature of true Holiness, A"
1110,"Sermon on the parable of the Rich Man and Lazarus"
1111,"Sermon on the profanation of the name of God, A"
1112,"Sermon on the Sacrament of the Lord's Supper"
1113,"Sermon on the World"
1114,"Sermon Preached at James City in Virginia, A"
1115,"Sermon preached at New York"
1116,"Sermon Preached at the Death of General Washington"
1117,"Sermon Preached in Annapolis"
1118,"Sermon preached in my own Parish Church, A"
1119,"Sermon upon the decay of Christianity"
1120,"Sermons (1770) of an unidentified minister, Three"
1121,"Sermons of Thomas Cradock"
1122,"Sermons on Various Occasions by the Rev. Paul Turquand, Volume I"
1123,"Sermons on Various Occasions by the Rev. Paul Turquand, Volume II"
1124,"Sermons preached after 1800 by John Durbarrow Blair "
1125,"Sermons Vollume Thirteenth [by Archibald Simpson]"
1126,"Sermons [by Archibald Simpson]"
1127,"Sermons, 1792-1802 [by Armistead Smith]"
1128,"Serve the Lord with Gladness"
1129,"Service of the Lord neither vain nor unprofitable, The"
1130,"Serving God, On"
1131,"Serving Two Masters, On"
1132,"Set thine House in Order"
1133,"Set your affection on things above"
1134,"Set your affections on things above."
1135,"Seven Mss. Sermons Delivered [by Samuel Frink] in Christ Church, Savannah"
1136,"Seventeen Manuscript Sermons, 1760-1804, [by Samuel Stillman]"
1137,"Seventh Commandment, On the "
1138,"Sexagesima Sunday, On"
1139,"Shewing thyself a pattern of good works"
1140,"Shine to enter at the strait Gate"
1141,"Short Acct. of the Nature, Terms & Conditions of the Baptismal Covenant"
1142,"Short Discorce [sic] on the 14C. of Reveration [sic] & 13V, A"
1143,"Sign of the Cross, On ye"
1144,"Simeon's Apostrophe "
1145,"Sin and the Follies of Youth"
1146,"Sin's Burdens and Christ's Yoke, On"
1147,"Sin, On"
1148,"Sincere conversion, On"
1149,"Sinners, their allurements to be guarded against "
1150,"Sins of Infirmity "
1151,"Sixth Article of the Creed, On the"
1152,"Slavery to human respects, On"
1153,"Slothful man & his lion, The "
1154,"So shall he sprinkle many Nations"
1155,"So then, after the Lord had spoken unto them"
1156,"Son of God, The"
1157,"Sorrow & heaviness of our Lord in Gethsemane, The "
1158,"Sorrow & mourning become all. "
1159,"Souls rest, The"
1160,"Sow to yourselves in Righteousness, reap in mercy"
1161,"Speaking truth"
1162,"Speedy Conversion, On"
1163,"Spirit of the world, On the"
1164,"Spirit of the World, The"
1165,"Spirit preventeth the works of the flesh, The "
1166,"Spiritual benefits, On"
1167,"Spiritual blessings bestowed on man, On the"
1168,"Spiritual or moral pride, On"
1169,"Spiritual Vigilance"
1170,"Spiritual Warfare, On"
1171,"St Ignatius, On"
1172,"St John, Epistle 1: 3 Chapter, 8 Verse, On"
1173,"St John; Ch. 8, V. 10, 11"
1174,"St Peter's Denial of his Master, On"
1175,"St. Francis Xavier, On"
1176,"St. Ignatius' Feast, On "
1177,"St. Ignatius, On"
1178,"St. John Baptist, For"
1179,"St. John the Baptist, On"
1180,"St. Paul before Felix, On"
1181,"St. Paul's Choice"
1182,"St. Paul's Discourse to Felix "
1183,"State between Death & the Resurrection, On a"
1184,"State of Protestantism, On"
1185,"State of the wicked considered, The"
1186,"Steadfastness, On"
1187,"Study to shew thyself approved unto God"
1188,"Submission to ye will of god, On"
1189,"Submitting to the Will of God, On"
1190,"Substance of a Sermon, preached by Tho. Coke "
1191,"Success of Xtianity an evidence of its truth, The"
1192,"Sudden death, On"
1193,"Suffering in this world, On"
1194,"Summary of the arguments in favor of Christianity"
1195,"Superior excellence of Christ's preaching, The"
1196,"Superiority of the Gospel over Natural Religion, The"
1197,"Suspension of Andrew Nugent, On the"
1198,"Swearing, On"
1199,"Take heed therefore how ye hear"
1200,"Take heed to yourselves"
1201,"Taking possession of the Episc. see of Baltre Decr 1790"
1202,"Tares in the Church, Of the"
1203,"Temple of God on Earth, The"
1204,"Temptation and Wisdom, On"
1205,"Temptations offered to men "
1206,"Temptations, offered by Satan to Jesus, presented also to man, The"
1207,"Temptations, On"
1208,"Tenderness and Mercy of God, The"
1209,"Tenth Commandment, On the "
1210,"Terms and Qualifications of successful prayers, The "
1211,"Testify the Gospel of the Grace of God"
1212,"Textbook of Sermons Heard by Richard Dozier"
1213,"Thanksgiving 1797, For the"
1214,"Thanksgiving for national blessings"
1215,"Thanksgiving on Feb. 19, 1795, For the "
1216,"Thanksgiving Sermon, A"
1217,"Thanksgiving Sermon, A, in consequence of the President's Proclamation"
1218,"Theft, On"
1219,"Theological Responses"
1220,"There is a reward for the righteous"
1221,"There is no good in them, but for a Man to rejoice and to do good in his life"
1222,"There is no peace saith my God to ye Wicked"
1223,"There Remaineth therefore a rest to the People of God"
1224,"There shall come in the last days scoffers"
1225,"Therefore be ye also ready"
1226,"Thine is the kingdom"
1227,"Things in which we ought not, and that in which we may glory"
1228,"Things, in which we ought not, and that, in which we may glory"
1229,"Third Article of the, On the"
1230,"Third commandment, On the"
1231,"This do in remembrance of me"
1232,"Those who honor God"
1233,"Those, to whom there is no condemnation"
1234,"Three Sermons by George Goundril"
1235,"Three(?) Addresses to the Continental Army"
1236,"Through a Glass Darkly"
1237,"Through him we both have an Access by one Spirit unto the Father"
1238,"Thy Kingdom come"
1239,"Thy will be done"
1240,"Thy will be done on earth as it is in heaven"
1241,"To Whom is the Cup in the Sacrament a Cup of Blessing?"
1242,"Together in Unity"
1243,"Torments of Hell, On the"
1244,"Transfiguration, On the"
1245,"transitoriness of life, On the"
1246,"Tribulation of the world "
1247,"True and righteous believers"
1248,"True church, On the one"
1249,"True faith in Christ, On"
1250,"True Honour of Man, On the"
1251,"True religion, On"
1252,"Truly God is good"
1253,"Trust in God, On our"
1254,"Trusting in the Lord, On"
1255,"Truth"
1256,"Truth of religion, On the"
1257,"Truth of Revelation, The"
1258,"Truth of the Old Testament"
1259,"Truth of the Scriptures of the New Testament, The"
1260,"Turning from sin to newness of life"
1261,"Two Sermons"
1262,"Two sermons and a charge to two newly ordained ministers"
1263,"Two Sermons by Edward Gantt"
1264,"Two Sermons by George Goundril"
1265,"Two Sermons by John Coleman"
1266,"Two Sermons by John Coleman (Acc. 790)"
1267,"Two Sermons on the Death of Elder Lewis Lunsford"
1268,"Two sermons undivided from Isai 44 Ch 3d vs"
1269,"Two sermons undivided from Jer 3d Ch 19"
1270,"Two sermons undivided from Lev 10 Ch 3d vs"
1271,"Two Sermons [by John Coleman]"
1272,"Two Sermons [by Robert Preade (Read?)]"
1273,"Uncertainty of existence, On the"
1274,"Uncertainty of life, & suddenness of death, The"
1275,"Unclean thoughts, On"
1276,"Unfit for Heaven"
1277,"Unity"
1278,"Unity of God, The"
1279,"Universal Love & Charity"
1280,"Unsearchable Wisdom of God, in his dealings with men, On the"
1281,"Unstable as Water thou shalt not excell"
1282,"Untitled"
1283,"Untitled Ms. Sermons 1686 and 1707"
1284,"Unworthy communion, On"
1285,"Upright poor man & the perverse rich one "
1286,"Use and abuse of the World, The"
1287,"Use of time, On the"
1288,"Vanity of human Life"
1289,"Vanity, On"
1290,"Venial Sin, Of"
1291,"Venial sin, On"
1292,"Veracity of God, On the"
1293,"Vice of Ingratitude, On the"
1294,"Vine and Its Branches, On the"
1295,"Virgin Mary, On the"
1296,"Visionary schemes of happiness, On"
1297,"Visitation of the third District, For the"
1298,"Visitation-sermon"
1299,"Vocation to Sanctity, On our"
1300,"Wait for the Hope of Righteousness by Faith"
1301,"Waiting patiently, till the change come "
1302,"Walk in the Spirit"
1303,"Walking circumspectly "
1304,"Walking Circumspectly in Evil Days, On"
1305,"Walking Circumspectly, Of"
1306,"Walking with God, On"
1307,"Walking worthy of ye Lord unto all pleasing"
1308,"Way of Peace, The"
1309,"We also are compassed about with so great a cloud of witnesses"
1310,"We are ambassadors for Xt."
1311,"We must all appear before the Judgment Seat of Christ"
1312,"We must all appear before the Judgment-Seat of Xt."
1313,"We preach not ourselves, but Christ Jesus"
1314,"We preach not ourselves, but Xt Jesus"
1315,"We Preach Xt. crucified"
1316,"We speak not as pleasing Men, but God"
1317,"We will serve the Lord"
1318,"Wealth"
1319,"Wealth, On"
1320,"Wedding Sermon"
1321,"What is a man profited if he shall gain the whole world"
1322,"What is a man profited?"
1323,"What is to be done for the inheritance of eternal life, On"
1324,"What manner of Persons ought we to be"
1325,"Whatsoever ye would that Men should do to you, do ye even so to them"
1326,"When I have [a] convenient season, I will call for thee"
1327,"When the fulness of the Time was come, God sent forth h[is] Son"
1328,"When the unclean spirit is gone out of a man"
1329,"While ye Child was yet alive"
1330,"Whipping & thorns"
1331,"Whitsunday, For"
1332,"Who gave Jacob for a Spoil, & Israel to the Robbers?"
1333,"Whole armour of God, The"
1334,"Wicked presume upon their Impunity"
1335,"Wickedness and destruction of the old world, On the"
1336,"Wickedness its own Punishment"
1337,"Wickedness of Christians no proof against Christianity, The"
1338,"Wilkinson, John, sermons"
1339,"Wine & Milk without Money & without Price"
1340,"Wisdom is justified of all his children"
1341,"Wisdom of fearing God, The"
1342,"Wisdom of God, On the"
1343,"Wisdom's Happiness and Sin's Misery"
1344,"Wisdom, Money, and Knowledge"
1345,"wise Son maketh a glad father, A"
1346,"Without me ye can do nothing"
1347,"Wonderful Compassions of Christ to the greatest Sinners, The"
1348,"Word of God, On the"
1349,"Words of Eternal Life, The"
1350,"Work of Christ, For the"
1351,"Work out your own Salvation"
1352,"Work out your own Salvation with Fear and Trembling"
1353,"Working "
1354,"Working with Fear & Trembling"
1355,"Works in sin, Of"
1356,"Works of Christ, On the"
1357,"Worldliness, On"
1358,"Worldly wisdom spiritually improved "
1359,"Worship in spirit and truth, On "
1360,"Worship, On"
1361,"Worthiness of Heavenly Glory"
1362,"wrongful actions of nations, On the"
1363,"Ye cannot serve God & Mammon"
1364,"Ye shall not swear by my Name falsely"
1365,"Ye should do as I have done to you"
1366,"Yoke of Christ easy, The "
1367,"Your labor is not in vain in the Lord"
1368,"Youth on being Sober-minded, To"
1369,"Youth Reminded of A Judgment to Come"
1370,"Zeal not according to knowledge, Of"
1371,"[Prayer and Justification, On]"
